type,출발_건물명,출발_주소,출발_lon,출발_lat,경유_도로명,경유_lon,경유_lat,도착_건물명,도착_주소,도착_lon,도착_lat
퇴근,한국자동차선물거래소 본사,서울 서초구 양재대로11길 36,127.035374518599,37.4618088295415,양재대로(양재IC),127.03295036146442,37.46292008266235,래미안베라힐즈아파트,서울 은평구 통일로 630,126.93624891606876,37.60387396735811
퇴근,대한전선 본사,서울 서초구 양재대로2길 18,127.02355524143636,37.45975746889215,양재대로(양재IC),127.03295036146442,37.46292008266235,온수힐스테이트아파트,서울 구로구 부일로9길 127,126.8210277186938,37.49673142073229
퇴근,테라다인코리아 본사,서울 서초구 매헌로 16,127.036853715504,37.4633112651831,양재대로(양재IC),127.03295036146442,37.46292008266235,래미안개포루체하임아파트,서울 강남구 개포로110길 50,127.08000508169303,37.48924531078433
퇴근,이지수능교육 서울본사,서울 서초구 강남대로10길 23,127.04065007007001,37.46870887974974,양재대로(양재IC),127.03295036146442,37.46292008266235,방배래미안타워아파트,서울 서초구 남부순환로 2183,126.99046745425962,37.475047788414024
퇴근,웅진타워 주차장,서울 서초구 반포대로30길 81,127.01296787941232,37.49283877664874,경부고속도로,127.0217237148132,37.49157468152887,래미안엘파인아파트 정문,서울 동대문구 한천로37길 33,127.0656645757561,37.57638094365547
퇴근,메리츠타워,서울 강남구 강남대로 382,127.028624135466,37.4970941791659,경부고속도로,127.0217237148132,37.49157468152887,은평뉴타운구파발9단지 래미안아파트 관리사무소,서울 은평구 진관3로 67,126.920673679495,37.6415834514364
퇴근,엔데버타워,서울 서초구 서초대로74길 45,127.028111716321,37.4936957045572,경부고속도로,127.0217237148132,37.49157468152887,래미안목동아델리체아파트,서울 양천구 중앙로43길 14,126.85147510847378,37.519313142616056
퇴근,DF타워,서울 서초구 강남대로 369,127.028184821986,37.4956499711307,경부고속도로,127.0217237148132,37.49157468152887,광명아크포레자이위브아파트 2단지 정문,경기 광명시 새터로 44-8,126.854661169928,37.4717169563343
퇴근,BNK디지털타워,서울 서초구 서초대로 398,127.025127383251,37.4966264512487,경부고속도로,127.0217237148132,37.49157468152887,GS강동자이아파트 상가동,서울 강동구 천호대로199길 10,127.148035173192,37.5371031217265
퇴근,제일타워,서울 용산구 한남대로11길 8,127.008888017758,37.5311804904387,한남대교,127.01089727145956,37.52968848035694,래미안포레아파트 지하주차장 입구,서울 강남구 밤고개로21길 25,127.1087845330869,37.47522064581625
퇴근,남제씨앤디 본사,서울 용산구 한남대로11길 8,127.00889706912096,37.531184093762576,한남대교,127.01089727145956,37.52968848035694,삼성래미안5단지아파트,서울 강남구 영동대로114길 56,127.06276435403802,37.515753401632686
퇴근,순천향대학교 부속 서울병원 주차타워 P5주차장,서울 용산구 대사관로 59,127.00500991993974,37.5345837997609,한남대교,127.01089727145956,37.52968848035694,삼성래미안아파트 배드민턴장,서울 구로구 디지털로31길 90,126.892641099496,37.4878333662059
퇴근,아자부 본사,서울 용산구 대사관로20길 48,127.00198672144845,37.53273773831969,한남대교,127.01089727145956,37.52968848035694,래미안로이파크아파트 후문,서울 동작구 사당로23길 112,126.973747958223,37.4886432826493
퇴근,엘보른 본사,서울 용산구 대사관로11길 15,127.00156022343826,37.53447307262431,한남대교,127.01089727145956,37.52968848035694,강서한강자이아파트,서울 강서구 양천로55길 55,126.84895972005735,37.56624478062903
