type,출발_건물명,출발_주소,출발_lon,출발_lat,경유_도로명,경유_lon,경유_lat,도착_건물명,도착_주소,도착_lon,도착_lat
출근,길음뉴타운8단지래미안아파트,서울 성북구 길음로 33,127.018401254239,37.6076630968992,한남대교,127.01089727145956,37.52968848035694,드림미즈 본사,서울 용산구 독서당로 46,127.0071118817087,37.53233749638014
출근,광명아크포레자이위브아파트 GATE2,경기 광명시 새터로 44-7,126.85564062946705,37.473822014271406,한남대교,127.01089727145956,37.52968848035694,가건종합건설 본사,서울 용산구 한남대로 31,127.00847966747658,37.53182653840081
출근,DMC자이1단지아파트,서울 은평구 수색로 217,126.89864998628089,37.57959297097762,경부고속도로,127.0217237148132,37.49157468152887,서초지웰타워,서울 서초구 서초대로 356,127.020253106837,37.4953930082335
출근,삼성래미안아파트,서울 구로구 디지털로31길 90,126.89189949864326,37.48773177713954,경부고속도로,127.0217237148132,37.49157468152887,메리츠타워,서울 강남구 강남대로 382,127.028624135466,37.4970941791659
출근,e편한세상평촌어반밸리 주택전시관,서울 서초구 양재대로12길 25,127.037791349202,37.4599700167815,경부고속도로,127.0217237148132,37.49157468152887,웅진타워 주차장,서울 서초구 반포대로30길 81,127.01296787941232,37.49283877664874
출근,래미안도봉아파트 상가동,서울 도봉구 도봉로170길 44,127.04789776686,37.6798885046047,경부고속도로,127.0217237148132,37.49157468152887,동아타워,서울 서초구 서운로 138,127.02529679425356,37.49598670035982
출근,은평스카이뷰자이아파트 102동,서울 은평구 통일로 1034,126.91772723381185,37.63488531496702,경부고속도로,127.0217237148132,37.49157468152887,BNK디지털타워,서울 서초구 서초대로 398,127.025127383251,37.4966264512487
출근,래미안도봉아파트 상가동,서울 도봉구 도봉로170길 44,127.04789776686,37.6798885046047,경부고속도로(양재IC),127.03649072853756,37.46775739306534,비스텔타워,서울 서초구 바우뫼로 128,127.035177489613,37.4755294819039
출근,래미안힐스테이트고덕아파트,서울 강동구 아리수로50길 50,127.149057394089,37.5595258727289,경부고속도로(양재IC),127.03649072853756,37.46775739306534,양재리본타워1단지 주차장,,127.033123645815,37.4737028272939
출근,목동삼성아파트,서울 양천구 신목로 7,126.87637159349308,37.515766646451446,경부고속도로(양재IC),127.03649072853756,37.46775739306534,테라다인코리아 본사,서울 서초구 매헌로 16,127.036853715504,37.4633112651831
