type,출발_건물명,출발_주소,출발_lon,출발_lat,경유_도로명,경유_lon,경유_lat,도착_장소명,도착_주소,도착_lon,도착_lat
주말여행,워커힐푸르지오아파트,서울 광진구 아차산로78길 10,127.10906445923118,37.54953788473015,경부고속도로(양재IC),127.03649072853756,37.46775739306534,행리단길,경기 수원시 팔달구 신풍동 27-2,127.014127546851,37.2854573747618
주말여행,래미안포레아파트 지하주차장 입구,서울 강남구 밤고개로21길 25,127.1087845330869,37.47522064581625,경부고속도로(양재IC),127.03649072853756,37.46775739306534,IFC몰,서울 영등포구 국제금융로 10,126.92589589473786,37.5250415765605
주말여행,오류푸르지오아파트,서울 구로구 오류로8길 11,126.84152946950135,37.49160694628738,경부고속도로,127.0217237148132,37.49157468152887,스타필드 하남,경기 하남시 미사대로 750,127.22367994072208,37.5455129166084
주말여행,서울서초 방배래미안아파트4 전기차충전소,서울 서초구 방배선행길 2,126.984854963019,37.4723657961638,경부고속도로,127.0217237148132,37.49157468152887,뚝섬한강공원,서울 광진구 자양동 427-6,127.06892112991,37.5292974433415
주말여행,철산래미안자이아파트 후문,경기 광명시 디지털로 56,126.873656105895,37.4705737871368,경부고속도로,127.0217237148132,37.49157468152887,롯데월드타워,서울 송파구 올림픽로 300,127.10255558658324,37.51260447840551
주말여행,래미안포레아파트 301동,서울 강남구 밤고개로21길 25,127.11077876777844,37.473684373650656,경부고속도로,127.0217237148132,37.49157468152887,교보문고 광화문점,서울 종로구 종로 1,126.977908555263,37.5707974563789
주말여행,온수힐스테이트아파트,서울 구로구 부일로9길 127,126.8210277186938,37.49673142073229,경부고속도로,127.0217237148132,37.49157468152887,가평빠지 캠프통포레스트 수상레저,경기 가평군 설악면 자잠로 377,127.492218515753,37.7027845908093
주말여행,래미안옥수리버젠아파트 104동,서울 성동구 매봉길 15,127.01379297915953,37.54610598890255,한남대교,127.01089727145956,37.52968848035694,대부도,경기 안산시 단원구 대부동동,126.596768094707,37.246138589609
주말여행,한남힐스테이트아파트,서울 용산구 장문로 141,127.00384650655677,37.52844171748857,한남대교,127.01089727145956,37.52968848035694,강릉중앙시장,강원특별자치도 강릉시 금성로 21,128.8986237900098,37.75402511765781
주말여행,래미안용강아파트,서울 마포구 큰우물로 28,126.94127702686515,37.5433765814088,한남대교,127.01089727145956,37.52968848035694,서울숲카페거리,서울 성동구 성수동1가 668-11,127.043028992489,37.5464440372535
주말여행,세곡푸르지오아파트 214동,서울 강남구 자곡로 21,127.09439218746112,37.465596714229854,한남대교,127.01089727145956,37.52968848035694,홍대입구역 2호선,서울 마포구 양화로 지하 160,126.923778562273,37.5568707448873
주말여행,워커힐푸르지오아파트,서울 광진구 아차산로78길 10,127.10906445923118,37.54953788473015,한남대교,127.01089727145956,37.52968848035694,인천국제공항,인천 중구 공항로 272,126.45092036935392,37.44916785897667
주말여행,DMC파크뷰자이아파트 127동,서울 서대문구 가재울미래로 2,126.92073029528362,37.57225144288841,경인고속국도(신월IC),126.83024980839431,37.52788423935813,서해안조개광장,인천 중구 마시란로 65,126.41871412114102,37.42801145529909
주말여행,양천롯데캐슬1단지아파트 101동,서울 양천구 오목로5길 19,126.83997888584256,37.52353824175471,경인고속국도(신월IC),126.83024980839431,37.52788423935813,별내동 카페거리,경기 남양주시 별내동 946-7,127.127000828952,37.6580117266865
주말여행,신정이펜하우스3단지아파트,서울 양천구 신정이펜1로 50,126.83080330608189,37.51252061085087,경인고속국도(신월IC),126.83024980839431,37.52788423935813,남이섬,강원특별자치도 춘천시 남산면 남이섬길 1,127.5252101432974,37.79144074509299
주말여행,베네스트아파트,서울 종로구 자하문로40가길 6,126.963934052675,37.59506407334061,경인고속국도(신월IC),126.83024980839431,37.52788423935813,서해안조개광장,인천 중구 마시란로 65,126.41871412114102,37.42801145529909
주말여행,신정이펜하우스1단지아파트,서울 양천구 신정이펜1로 99,126.82687580072417,37.51464489072024,경인고속국도(신월IC),126.83024980839431,37.52788423935813,별내동 카페거리,경기 남양주시 별내동 946-7,127.127000828952,37.6580117266865
주말여행,염광아파트,서울 중랑구 망우로81길 27,127.10628720340851,37.60275853341827,올림픽대로(개화IC),126.81089428679904,37.59059087906677,인천국제공항,인천 중구 공항로 272,126.45092036935392,37.44916785897667
주말여행,단독주택(개화2) 전기차충전소,서울 강서구 개화2길 3-7,126.798876311523,37.5836610650205,올림픽대로(개화IC),126.81089428679904,37.59059087906677,두물머리,경기 양평군 양서면 양수리,127.315829778049,37.5328127891601
주말여행,방화동부센트레빌아파트,서울 강서구 방화대로45길 32,126.81497740346472,37.57470179939911,올림픽대로(개화IC),126.81089428679904,37.59059087906677,가평빠지 캠프통포레스트 수상레저,경기 가평군 설악면 자잠로 377,127.492218515753,37.7027845908093
주말여행,개화산동부센트레빌아파트,서울 강서구 양천로3길 17,126.8061015312037,37.573267588795865,올림픽대로(개화IC),126.81089428679904,37.59059087906677,비발디파크 오션월드,강원특별자치도 홍천군 서면 한치골길 262,127.68691203933,37.6499534973208
주말여행,대곡역롯데캐슬엘클라씨아파트 후문,경기 고양시 덕양구 토당로 140,126.819081295052,37.6255492040284,올림픽대로(개화IC),126.81089428679904,37.59059087906677,강릉중앙시장,강원특별자치도 강릉시 금성로 21,128.8986237900098,37.75402511765781
주말여행,상계주공6단지아파트,서울 노원구 동일로 1384,127.06560846150458,37.65428493069629,내부순환로,126.9968894410536,37.61155286560014,대부도,경기 안산시 단원구 대부동동,126.596768094707,37.246138589609
주말여행,양천롯데캐슬2단지아파트,서울 양천구 오목로5길 20,126.84100055105003,37.52346934345384,내부순환로,126.9968894410536,37.61155286560014,속초해수욕장,강원특별자치도 속초시 해오름로 186,128.60409847805985,38.19005288814373
주말여행,종로1가대성스카이렉스주상복합아파트입주자대표회의 전기차충전소,서울 종로구 삼봉로 95,126.98256850570353,37.57231100730218,내부순환로,126.9968894410536,37.61155286560014,남이섬,강원특별자치도 춘천시 남산면 남이섬길 1,127.5252101432974,37.79144074509299
주말여행,강서한강자이아파트,서울 강서구 양천로55길 55,126.84895972005735,37.56624478062903,내부순환로,126.9968894410536,37.61155286560014,스타필드 하남,경기 하남시 미사대로 750,127.22367994072208,37.5455129166084
주말여행,도봉래미안아파트,서울 도봉구 도봉로170길 40,127.04652365173122,37.67962236501131,내부순환로,126.9968894410536,37.61155286560014,IFC몰,서울 영등포구 국제금융로 10,126.92589589473786,37.5250415765605
